x,y,name,length,longitude,latitude
1541385.776,762753.1646,Beverly Turnpike,5.53827114,-120.9000445,47.42418725
895852.5421,456270.7559,Willapa Hills,1.62883382,-123.4598902,46.54622937
1056043.25,647445,Chehalis Western,6.42931093,-122.8460998,47.08491212
1042724.339,636177.4566,Promenade,1.16955555,-122.8981641,47.05293427
1027590.406,643249.4687,Evergreen Parkway/McLane School Forest,1.0279727,-122.9597328,47.07103781
1096354.875,578735,Yelm-Tenino,13.65177164,-122.6767345,46.89976205
1192319.792,162358.5,180b,2.11244398,-122.2558548,45.76487784
1048833.5,629955.9999,Olympia Woodland,2.4873989,-122.872916,47.03639025
1402672.582,540002.7526,Cougar Lake,2.94112059,-121.449519,46.81022015
1399426.834,542980.8407,American Ridge,1.08041734,-121.4626259,46.81827769
1411705.99,618403.4019,Arch Rock,3.2552178,-121.4170844,47.02546943
1563165.929,766124.9214,Cascade Creek,2.38693274,-120.8121165,47.43370025
1594659.002,1097691.725,Boulder Creek,9.2244675,-120.6880696,48.34272694
1578915.875,1318458.625,Blizzard Peak,1.70546894,-120.7557171,48.94736639
1512791.234,1142806.5,Cascade Pass,6.1981155,-121.0257855,48.46532083
1546722.063,1310336.375,Castle Pass,16.93736651,-120.8894088,48.92476158
1577359.59,1322978.125,Boundary,6.1340977,-120.7622505,48.9597297
1595414.41,1249085.062,Buffalo Pass,2.1358647,-120.6864356,48.75748613
1341864.695,382325.0914,Blue Lake Ridge,9.78503943,-121.6829013,46.37562868
936944.979,344998.4999,Bradley Trail,3.38340601,-123.2810843,46.24539607
1349013.414,389160.7782,Blue Lake Butte,3.70361055,-121.6549778,46.39466226
1195333.044,309215.8344,Blue Lake Horse,4.80863476,-122.2568667,46.16768875
1360237,174600,Buck Creek Trail,1.82462603,-121.5986546,45.80677416
1197579.47,335435.97,Castle Lake,3.45020793,-122.2502987,46.2397111
1399620.704,607120.2316,Castle Mountain,5.44639496,-121.4649858,46.99413914
1194776.43,328590.4709,Castle Ridge,1.76356455,-122.26077,46.22077238
1584987.388,745024.2153,County Line,5.63917003,-120.7237099,47.3760564
1627334.477,717795.3406,Elk Trap Springs,1.13828097,-120.5527258,47.30161018
1505699.179,822894.0016,French Creek,10.52138656,-121.0458811,47.5884658
1570347.152,759196.1666,Etienne Creek,3.20214528,-120.783002,47.4147797
1526932.931,1021131.303,High Pass,2.5547377,-120.9645743,48.1321681
1643664.24,1075380.752,Eagle Pass,1.0859117,-120.4866676,48.2817418
1609704.596,1148459.948,Copper Pass,6.22803494,-120.6265654,48.4819078
1673639.551,1049453.438,Hoodoo Pass,1.28330053,-120.3637921,48.21061775
1675363.631,1033480.357,Foggy Dew (Section 2),2.32862542,-120.3568426,48.1668382
1411646.312,629547.8941,Greenwater,10.44038826,-121.4178437,47.05602209
1575932.063,1274918,Devils Ridge,8.07511991,-120.7675096,48.82808997
1569492.875,1209155,East Creek,9.72086465,-120.7932077,48.64789202
1386928.187,577659.875,Crystal Lakes,4.08848226,-121.5143273,46.91293058
1374509.125,532631.7188,Eastside,5.97167219,-121.5615911,46.78902562
1326231.625,1210975.25,Dock Butte,1.73322578,-121.7988923,48.64615283
1420891.813,496757,Dumbbell Lake,1.3164206,-121.3748444,46.69222277
1406159.728,495518.1083,Cortright Creek,4.29471599,-121.4334905,46.68836276
1400651.985,465333.4797,Clear Fork,8.74122399,-121.4539815,46.60541769
1372146.889,290919.5813,Crofton Ridge,2.53134602,-121.5580768,46.1261742
1224116.632,382690.5294,Green River,12.92751119,-122.1493478,46.3708338
1227601.092,387373.0841,Goat Mountain,9.33279789,-122.1359314,46.38387072
1190625.863,305361.7273,Goat Marsh,1.00011496,-122.2750987,46.15683331
1434817.658,797514.222,Dutch Miller Gap Trail,10.10867914,-121.3319937,47.51719742
1192278.5,150472,Grouse Vista Trail,2.14421245,-122.2549804,45.7322873
1235315.816,1106658.967,Cavanaugh,1.05314251,-122.1655484,48.35572723
1250016.754,1108049.314,Centennial,1.62369372,-122.1052397,48.36037104
2023566.441,1232490.228,Clackamas Mountain,8.24932496,-118.9142781,48.70162528
1246718.217,1103517.514,Dougs Loop,1.02706416,-122.1184165,48.34777183
1469845.136,1079664.781,Downey Creek,6.0077167,-121.200395,48.29140622
1360271.438,380810.3172,Hamilton Buttes,6.82856938,-121.6098969,46.37220882
1434336.293,1079244.924,Huckleberry Mtn,5.76473151,-121.3461715,48.28930195
1191215.673,350839.8747,Hummocks,1.80055704,-122.2768142,46.28155218
1595073.37,735275.3706,Iron-Blewett Tie,2.61843372,-120.6829123,47.34940093
1528281.28,965661.6754,Indian Creek,11.16796807,-120.9577368,47.9801751
1207423.571,299670.8985,Kalama Snow,9.4071523,-122.2083414,46.14224826
1370961.51,394669.4536,Klickitat Loop,21.58575182,-121.5682932,46.41061508
1409020.61,509742.0031,Jug Lake,3.24718317,-121.4227543,46.7274557
1322050.549,369017.5759,Juniper Ridge,11.27972211,-121.760552,46.3382989
1187609.703,705445.8901,Interurban Trail - Milton,2.51149432,-122.3234936,47.25341404
1477600.654,828775.5184,Lake Clarice,2.86273179,-121.1599321,47.6039993
1182738.983,128769.6553,Little Washougal,1.31552403,-122.2903972,45.67220081
1399914.021,510590.1636,Kincaid,7.37641456,-121.4591069,46.72948339
1235622.51,362412.5845,Lakes,12.42983652,-122.1021435,46.31588855
1535337.641,1044258.638,Lyman Ridge,1.4207752,-120.9306851,48.19567498
1636173.805,725395.258,Mount Lillian,1.57657502,-120.5171069,47.3224568
1535813.486,772349.7062,Longs Pass,1.96321527,-120.9227616,47.45041567
1505459.704,798358.0658,North Scatter Creek,2.98257492,-121.046163,47.52120238
1753584.929,957177.111,Outback,3.95521918,-120.0382498,47.95690538
1654812.806,1082075.32,Oval Creek,7.26168823,-120.4408781,48.3000717
1572510.562,1222306.188,Mill Creek,9.50190777,-120.780926,48.68394745
1386163,559898.0626,Naches Peak Loop,1.42427471,-121.5164729,46.86420505
1330759.375,529089.5625,Lowlakes,1.35561074,-121.7360064,46.77756671
1383968.74,349709.6014,Muddy Meadows,4.35071417,-121.5144377,46.28780532
1367471.804,198455.5332,Monte Carlo,5.89285154,-121.5715594,45.87245979
1200578.825,319061.3707,Loowit,25.90936965,-122.2370226,46.19500004
1429597.473,628410.3004,Louisiana Saddle,2.76748108,-121.3457791,47.05345342
1223691.922,898644.6389,North Creek Trail,1.67063033,-122.1949497,47.78511203
1405640.252,722773.3225,Meadow Mountain Trail,1.900896,-121.4464258,47.31140817
1196607.98,242236.4999,Mitchell Peak Trail,1.35139361,-122.2459845,45.98413408
1249103.479,1105619.476,Martys Mania,1.35656405,-122.1087901,48.35366371
1335018.437,529968.0626,Mazama,1.75628057,-121.7190632,46.78015706
1466233.063,920568.4337,Meadow Creek Trail,7.04398921,-121.2093511,47.8553296
1434028.259,630177.0677,Middle Fork,6.61636688,-121.3280791,47.05842625
1371342.288,283107.313,Morrison Creek,4.89713477,-121.5608355,46.10472291
1306881.703,1215596.245,Nooksack Flat,3.59824777,-121.8792063,48.65790981
1396373.941,596623.789,Norse Peak,4.80762203,-121.4774746,46.9652514
1670623.292,1045934.644,Prince Creek,4.26357841,-120.3761809,48.2009889
1505369.875,1146294.563,Sahale Ridge,1.25144957,-121.0564601,48.47473758
1383519.415,303857.2303,Round The Mountain,7.61636035,-121.5138836,46.16205962
1413392.403,508465.6152,Pot Hole,1.30875788,-121.4052637,46.72409488
1428826.221,617035.3541,Raven Roost,3.69341851,-121.3483822,47.02224397
1239178.811,1115372.465,Pats,1.34664373,-122.1504201,48.37981916
1620030.599,727950.8597,Swuak Forest Discovery,2.36389592,-120.5822056,47.32943532
1617885.28,732112.1197,Wenatchee Ridge,4.2165009,-120.5908758,47.34083725
1627071.856,720023.5066,Table Mountain,2.06256943,-120.5537903,47.30771844
1505201.055,794744.9795,Scatter Creek,3.62359951,-121.0471083,47.51129296
1523335.977,786695.1267,Van Epps Pass,4.06368207,-120.9735373,47.4895474
1489871.957,928652.4148,Top Lake,5.9741862,-121.1133435,47.87802912
1668408.581,1076098.535,West Fork Buttermilk,7.80662035,-120.385079,48.2836535
1621498.947,1127981.744,South Creek,7.97638991,-120.5778772,48.4258436
1627975.845,1096809.703,War Creek,9.09699155,-120.5511311,48.3404486
1681077.071,1023309.419,Summer Blossom,5.25494942,-120.3335259,48.1389353
1596505.655,1142819.299,Twisp Pass,7.42206502,-120.6809051,48.46638335
1630674.186,1094064.435,Splawn,3.22365257,-120.5400353,48.33293075
1726220.111,999429.9102,Squaw Creek,3.39194665,-120.1491354,48.07308901
1586625.184,747933.1875,Shaser Creek Road System Trail,7.24378898,-120.7171322,47.38404392
1530562.348,777346.6159,Upper Ingalls Way,1.05615278,-120.9440977,47.46403503
1606492.25,1242365.25,Slate Pass,2.40559445,-120.6404928,48.73914247
1507365.625,1204804.5,Thunder Creek,9.27073644,-121.0499177,48.63506484
1402549,529951.6249,Two Lakes,1.41957185,-121.4495293,46.78265742
1357234.188,544544.7813,Wonderland,20.22327736,-121.6312312,46.82103014
1529907.625,1150391.375,Thunder - Park Creek,11.88595824,-120.9554523,48.48639279
1425641.75,494890.875,Shellrock Lake,4.23856415,-121.3558359,46.68724885
1425323.813,506686.5156,Tumac,3.28418163,-121.3576137,46.71958233
1192036.718,155500.4042,Sturgeon,1.25314272,-122.2563654,45.7460584
1406509.595,478651.9749,Sand Lake,3.6769364,-121.4313029,46.6421283
1202419.641,355548.528,South Coldwater,3.29254313,-122.2329204,46.2951449
1330043.055,389821.4633,Valley,15.48482423,-121.7301959,46.3956873
1198628.01,319612.8097,Sheep Canyon,1.43334717,-122.2447725,46.19639381
1305109.643,1210994.406,Three Lakes,1.51420849,-121.886198,48.6452205
1174410.496,152109.615,Thrillium Mtn Bike Trail,2.55533654,-122.3250782,45.73566505
1247469.886,1107810.147,Webers Wanderings,1.17471687,-122.1156888,48.35957339
1647047.819,521455.9936,Skyline Trail,9.10309781,-120.4735396,46.76328481
1444061.573,626853.2144,South Fork,5.17524531,-121.2876926,47.04959499
1252924.312,384157.8962,Strawberry Mountain,8.98733705,-122.0353571,46.37645156
1239069.627,1110049.462,Tooler,2.18618144,-122.150411,48.36523126
1193903.006,311268.9309,Toutle,10.53968172,-122.2626907,46.17323005
1523988.11,1023486.223,Triad/Upper Suiattle,3.33533735,-120.9766876,48.13857328
1236255.98,395115.2839,Tumwater,8.50464784,-122.1022659,46.40558438
1237791.963,1113859.172,Upper Mainline,1.36315533,-122.1559923,48.37559408
1381161.829,269540.8341,Wicky Creek,2.20623171,-121.5214334,46.06787819
1634281.813,727019.3742,Upper Naneum,2.34501845,-120.5247373,47.32690807
1039345.5,781832.9999,4x4 Loop,1.70036026,-122.9297096,47.45180073
1047750.263,778274,1.9 Mile Trail,2.26185,-122.8953193,47.44275314
1069092.28,824884,Beaver Pond,2.65045225,-122.8146402,47.57221776
1036325.5,781458.5,Hoof & Tail Trail,1.29939162,-122.9418627,47.45051893
1050218,780923.4999,Derailleur Trail,1.41811049,-122.8856756,47.45021824
1029115,781572.5,Howell Lake Loop,2.61481461,-122.9710046,47.4502158
1035176.5,787355,Howell Lake Trail,2.13429097,-122.9472435,47.46657838
1044017.5,786067,Nucleus Trail,1.43103302,-122.9113589,47.46379545
1055257.786,786317,Overland Trail,3.05488249,-122.86597,47.46541351
1048869.5,788984.9999,Mission Creek Stagin,1.44294809,-122.8921111,47.47219614
1047244.5,780124.4999,Mission Creek Trail,2.00987259,-122.8975894,47.44778171
1048230,784595,Nw Passage Trail,1.15291445,-122.8941568,47.46011368
1060999,788925,Raines Grade,1.59897992,-122.8430835,47.47302969
1068212.5,820782.5,Plummer,1.21493026,-122.8177143,47.56090839
1039606.333,792799.0001,Randys H20 Stop,3.16961637,-122.9300211,47.48187086
1037651.5,783468.4999,Road Apple Road,2.32984476,-122.9367571,47.45613897
1051291,791403.5,Salmon Trail,1.34657095,-122.8826202,47.47902409
1035138.5,790118.4999,Twin Lakes Trail,2.10985364,-122.9477437,47.47414739
1045337,784655.5,Tahuya River Staging,1.7033128,-122.9058532,47.46003818
1034866.5,784778.9999,Tahuya River Trail,8.58622557,-122.948173,47.45949351
1053328,794342.5,Tommy Trail,1.43021065,-122.8747447,47.48724576
1075034.5,828552,Wildcat,4.10841534,-122.7910112,47.58274397
990035.9999,605284,Basin Tie,1.21395512,-123.1053288,46.96368917
982328.4825,610057.918,Capitol Peak Trail,1.1330775,-123.1368201,46.97606951
998376.3162,587431.0037,Campground Trail,1.93947263,-123.0696135,46.91551367
1000858.92,588123.2227,Equine Loop,1.22560089,-123.0597743,46.917632
974634.3872,604099.1623,Greenline Tie,1.36800184,-123.1668185,46.95903118
969366.0368,604626.8611,Crestline Trail,3.85032577,-123.1879768,46.95998701
992218.6469,622937.5269,Divide Trail North,3.79786668,-123.098921,47.0122645
983586,610013.9999,Divide Trail South,4.09581893,-123.1317794,46.97606429
981857.5646,602439.1094,Greenline,5.40196506,-123.1376851,46.95514784
1001621.352,579444.8468,Mima Mounds Nature Trail,1.16053457,-123.0555999,46.89391646
972017.302,613165.5856,Larch Trail West,7.0298971,-123.178526,46.98363319
980386.6496,591842.7339,Lost Valley Trail,2.30298408,-123.142151,46.92597451
995988.7254,588477.1534,Mima Falls Tie,1.02270517,-123.0792993,46.918167
986353.2303,601660.8312,Little Larch Trail,1.34658643,-123.1195887,46.95342576
980569.8866,615014.5691,Larch Trail East,4.68801255,-123.1445268,46.98949117
980554.9042,631038.6176,Loki Trail,4.31933759,-123.1467409,47.03340117
995333.9232,593001.7406,Mckenny Trail,6.38434882,-123.082511,46.93050783
986606.7144,587594.5821,Mima Falls Trail,6.96571755,-123.116706,46.91490117
990186.8653,627824.8196,North Rim Trail,2.7398888,-123.107709,47.02547373
973962.2755,635521.2265,Orv Park Tie,3.39923404,-123.1737734,47.04507534
999369.737,621111.8247,Rock Candy Trail,2.16894424,-123.070031,47.00790366
956222.6358,601549.2744,Porter Trail,12.43347566,-123.2401543,46.95031368
987492.8373,613451.5673,Slide Trail,1.22355548,-123.1165938,46.98584089
989954.7564,611515.856,Twin Peaks Trail,5.62500466,-123.1064786,46.98075972
1000935.115,606006.8076,Waddell Basin East,8.00488027,-123.0617935,46.96664866
989871.6777,606350.5176,Waddell Basin West,8.76863648,-123.1061276,46.966597
979791.8088,600241.3113,Wedekind Trail,6.01818004,-123.1456576,46.94893534
